Model,Dataset,Average_WER,Average_CER,Global_WER,Total_Substitutions,Total_Deletions,Total_Insertions,Total_Words
Whisper Large,CheeSpeech_BsAs,10.559,6.5014,11.5802,65,110,17,1658
Whisper Large,CheeSpeech_Cordoba,16.3586,11.2216,16.5488,77,130,27,1414
Whisper Large,CheeSpeech_Total,13.5523,8.9376,13.8672,142,240,44,3072
