Model,Dataset,Average_WER,Average_CER,Global_WER,Total_Substitutions,Total_Deletions,Total_Insertions,Total_Words
Whisper Tiny,CheeSpeech_BsAs,36.6075,19.5211,38.5404,386,185,68,1658
Whisper Tiny,CheeSpeech_Cordoba,46.2565,23.0311,46.6054,446,118,95,1414
Whisper Tiny,CheeSpeech_Total,41.5876,21.3327,42.2526,832,303,163,3072
